"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.21,3.0975e-06,0,0,0,0.001,0,0.0005
298.05,-9.6579e-09,0,0,0,0,0,0.0005
298.21,3.0739e-06,0.00031077,-0.00030798,0,0.001,0.001,0.0005
298,-8.5483e-07,0,0,0,0,0.001,0.0005
298.41,6.2262e-06,0,0,0,0.002,0,0.0005
298.42,7.5667e-06,0.0010134,-0.00060097,0,0.002,0.001,0.0005
298.61,1.2088e-06,0,0,0,0.003,0,0.0005
298.62,3.6463e-06,0.002166,-0.00085255,0,0.003,0.001,0.0005
298.79,-1.5588e-05,0,0,0,0.004,0,0.0005
298.8,-1.1905e-05,0.0036772,-0.0010579,0,0.004,0.001,0.0005
298.96,-4.7471e-05,0,0,0,0.005,0,0.0005
298.98,-4.2263e-05,0.0054691,-0.0012049,0,0.005,0.001,0.0005
299.12,-9.7205e-05,0,0,0,0.006,0,0.0005
299.14,-9.0173e-05,0.007453,-0.0012769,0,0.006,0.001,0.0005
299.27,-0.00016617,0,0,0,0.007,0,0.0005
299.29,-0.00015698,0.0095222,-0.0012629,0,0.007,0.001,0.0005
299.41,-0.00025396,0,0,0,0.008,0,0.0005
299.43,-0.0002422,0.011564,-0.0011623,0,0.008,0.001,0.0005
299.54,-0.00035832,0,0,0,0.009,0,0.0005
299.57,-0.00034355,0.01347,-0.00098528,0,0.009,0.001,0.0005
299.66,-0.00047549,0,0,0,0.01,0,0.0005
299.69,-0.00045724,0.01515,-0.00074995,0,0.01,0.001,0.0005
299.77,-0.00060081,0,0,0,0.011,0,0.0005
299.8,-0.00057856,0.016536,-0.00047952,0,0.011,0.001,0.0005
299.88,-0.00072927,0,0,0,0.012,0,0.0005
299.9,-0.00070252,0.017582,-0.00019812,0,0.012,0.001,0.0005
299.97,-0.00085584,0,0,0,0.013,0,0.0005
300,-0.00082433,0.018271,7.6214e-05,0,0.013,0.001,0.0005
300.06,-0.00097597,0,0,0,0.014,0,0.0005
300.08,-0.00093987,0.018609,0.00033207,0,0.014,0.001,0.0005
300.14,-0.0010865,0,0,0,0.015,0,0.0005
300.16,-0.0010461,0.018618,0.0005593,0,0.015,0.001,0.0005
300.22,-0.0011851,0,0,0,0.016,0,0.0005
300.24,-0.0011408,0.018333,0.00075152,0,0.016,0.001,0.0005
300.29,-0.0012708,0,0,0,0.017,0,0.0005
300.31,-0.001223,0.017798,0.00090474,0,0.017,0.001,0.0005
300.36,-0.0013434,0,0,0,0.018,0,0.0005
300.37,-0.0012924,0.017059,0.0010167,0,0.018,0.001,0.0005
300.42,-0.0014032,0,0,0,0.019,0,0.0005
300.43,-0.0013493,0.016167,0.0010896,0,0.019,0.001,0.0005
300.48,-0.001451,0,0,0,0.02,0,0.0005
300.49,-0.0013947,0.015165,0.0011286,0,0.02,0.001,0.0005
300.53,-0.001488,0,0,0,0.021,0,0.0005
300.54,-0.0014297,0.014097,0.0011392,0,0.021,0.001,0.0005
300.58,-0.0015154,0,0,0,0.022,0,0.0005
300.59,-0.0014555,0.012998,0.0011274,0,0.022,0.001,0.0005
300.62,-0.0015347,0,0,0,0.023,0,0.0005
300.63,-0.0014735,0.0119,0.0010986,0,0.023,0.001,0.0005
300.67,-0.0015472,0,0,0,0.024,0,0.0005
300.67,-0.001485,0.010827,0.0010575,0,0.024,0.001,0.0005
300.71,-0.0015542,0,0,0,0.025,0,0.0005
300.71,-0.0014913,0.009798,0.0010083,0,0.025,0.001,0.0005
300.74,-0.0015569,0,0,0,0.026,0,0.0005
300.75,-0.0014935,0.0088272,0.00095425,0,0.026,0.001,0.0005
300.78,-0.0015562,0,0,0,0.027,0,0.0005
300.78,-0.0014924,0.0079236,0.00089826,0,0.027,0.001,0.0005
300.81,-0.0015531,0,0,0,0.028,0,0.0005
300.81,-0.001489,0.0070923,0.0008429,0,0.028,0.001,0.0005
300.84,-0.001548,0,0,0,0.029,0,0.0005
300.84,-0.0014838,0.0063356,0.0007909,0,0.029,0.001,0.0005
300.87,-0.0015417,0,0,0,0.03,0,0.0005
300.87,-0.0014775,0.0056534,0.0007434,0,0.03,0.001,0.0005
